gene,EN_Rest,HC_Rest,NL_Rest,PE_Rest,EN_Stim8hr,HC_Stim8hr,NL_Stim8hr,PE_Stim8hr,EN_Stim48hr,HC_Stim48hr,NL_Stim48hr,PE_Stim48hr,ncell_min,umap_x,umap_y,leiden,drug_target_status,approved_drugs,pharos_tdl,tractability_modality,immune_disease_assoc,depmap_essentiality,gnomad_loeuf,function,pathway_family,protein_class_family,nearest_string_neighbors,is_deep_subset
ABCG1,4.049233436584473,0.2609342336654663,0.743267834186554,0.6863093972206116,7.951962947845459,0.9660248160362244,0.6262322664260864,0.7433339357376099,5.0573811531066895,0.1418220400810241,0.6816092133522034,0.929113745689392,51,2.553001,4.4535537,5,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,multiple sclerosis(0.314),not_common_essential; mean_geneEffect=-0.006,LOEUF=0.574; pLI=0.1916,"Catalyzes the efflux of phospholipids such as sphingomyelin, cholesterol and its oxygenated derivatives like 7beta-hydroxycholesterol and this transport is coupled to hydrolysis of ATP .",Signal Transduction; Transport of small molecules,ATP-binding cassette subfamily G transporters; Pigment precursor permease/Protein ATP-binding cassette sub-family G,APOA1(0.997); NR1H3(0.932); APOE(0.928); NR1H2(0.892); SREBF2(0.877),False
ABHD10,7.475295066833496,0.5908463001251221,0.4533183574676513,0.5164602994918823,7.385503768920898,0.750373899936676,0.4812918901443481,0.5900177359580994,7.693368911743164,0.7367309331893921,0.4689096808433532,0.5785558819770813,100,10.607361,7.45626,6,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,NOT_FOUND,not_common_essential; mean_geneEffect=0.03,LOEUF=1.038; pLI=0.0,Acts as an acyl-protein thioesterase that hydrolyzes fatty acids from acylated residues in proteins .,Metabolism,Mitochondrial ABHD10 acyl-protein thioesterase,ABHD17A(0.697); ABHD13(0.637); KCMF1(0.626); ABHD17B(0.611); ABHD11(0.607),False
ABHD13,7.946573734283447,0.922831892967224,0.8586195111274719,0.6654158234596252,7.522891521453857,0.7388362884521484,0.6972606182098389,0.8108429312705994,5.484099388122559,0.1452283263206482,0.8418204188346863,0.9197705388069152,57,4.0528903,4.748514,5,no_known_drug,NOT_FOUND,Tdark,PROTAC_degrader; antibody,amyotrophic lateral sclerosis(0.047),not_common_essential; mean_geneEffect=-0.11,LOEUF=0.504; pLI=0.9766,"Predicted to enable palmitoyl-(protein) hydrolase activity. Predicted to be involved in protein depalmitoylation. Located in membrane. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Alpha/Beta hydrolase fold,ABHD10(0.637); MTMR6(0.628); LYPLA1(0.605); ABHD16B(0.6); ABHD16A(0.589),False
ABHD14A,7.121971130371094,0.5268166065216064,0.5976771712303162,0.4884744882583618,7.91885232925415,0.9518657326698304,0.8369398713111877,0.7569169998168945,6.961987018585205,0.4919423460960388,0.6966077089309692,0.670796811580658,53,9.532656,5.0800443,6,no_known_drug,NOT_FOUND,Tdark,PROTAC_degrader; antibody,NOT_FOUND,not_common_essential; mean_geneEffect=0.025,LOEUF=1.082; pLI=0.0,Possible role in granule neuron development.,NOT_FOUND,Alpha/Beta hydrolase fold,ABHD16B(0.62); ABHD12B(0.615); ACY1(0.573); ABHD13(0.572); ABHD8(0.541),False
ABHD14B,6.998437881469727,0.7471414804458618,0.7560631036758423,0.6210743188858032,7.977761745452881,0.9638652801513672,0.8378638029098511,0.8817155361175537,7.8402862548828125,0.8726312518119812,0.7218208909034729,0.6537997126579285,100,7.9231343,5.0658946,0,no_known_drug,NOT_FOUND,Tdark,PROTAC_degrader,immune system disorder(0.13),not_common_essential; mean_geneEffect=0.017,LOEUF=1.79; pLI=0.0,Acts as an atypical protein-lysine deacetylase in vitro .,Metabolism,Alpha/Beta hydrolase fold,ABHD10(0.542); ABHD12B(0.529); ABHD16B(0.513); NDUFAB1(0.502); ABHD15(0.501),False
ABHD16A,6.142119884490967,0.2891085743904114,0.6960983276367188,0.7165348529815674,6.819004058837891,0.426524817943573,0.631575882434845,0.736585795879364,7.657303810119629,0.637260913848877,0.3494324684143066,0.5519821643829346,77,12.128148,3.0232904,4,NOT_FOUND,NOT_FOUND,Tchem,NOT_FOUND,NOT_FOUND,NOT_FOUND,LOEUF=0.686; pLI=0.0,Phosphatidylserine (PS) lipase that mediates the hydrolysis of phosphatidylserine to generate lysophosphatidylserine (LPS) .,NOT_FOUND,Alpha/Beta hydrolase fold,ABHD12(0.855); ZBTB12(0.829); RNF5(0.772); LST1(0.762); PRRC2A(0.755),True
ABHD17B,7.614614486694336,0.7153119444847107,0.6743953824043274,0.5564959049224854,7.881946563720703,0.9294896125793456,0.4504989385604858,0.5005910396575928,7.187359809875488,0.4305234551429748,0.6154606342315674,0.5666184425354004,84,10.421622,6.7894464,6,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,NOT_FOUND,not_common_essential; mean_geneEffect=0.042,LOEUF=0.58; pLI=0.8572,Hydrolyzes fatty acids from S-acylated cysteine residues in proteins .,Signal Transduction,Alpha/Beta hydrolase fold,LYPLA1(0.694); NRAS(0.632); ABHD10(0.611); C9orf57(0.577); RBBP9(0.548),False
ABHD2,6.310983657836914,0.435515284538269,0.9976827502250672,0.6644954681396484,7.916965007781982,0.9325556755065918,0.4998756647109985,0.6321977376937866,7.57168436050415,0.6325830221176147,0.3088482618331909,0.5644434690475464,59,10.771517,3.1496713,2,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,coronary atherosclerosis(0.145),not_common_essential; mean_geneEffect=-0.07,LOEUF=0.571; pLI=0.5456,Progesterone-dependent acylglycerol lipase that catalyzes hydrolysis of endocannabinoid arachidonoylglycerol (AG) from cell membrane .,NOT_FOUND,"AB hydrolase superfamily, subfamily 4; AB hydrolase 4 family",SPA17(0.829); ZPBP(0.689); PRKAR2A(0.6); CATSPER1(0.588); ABHD16A(0.571),False
ABHD3,7.953265190124512,0.9499832391738892,0.6339757442474365,0.7463836669921875,7.847956657409668,0.8542177081108093,0.8490962982177734,0.7809196710586548,7.119106769561768,0.556336522102356,0.8428319692611694,0.6487633585929871,100,6.914125,5.2032957,0,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,NOT_FOUND,not_common_essential; mean_geneEffect=-0.072,LOEUF=1.212; pLI=0.0,Phospholipase that may play a role in phospholipids remodeling.,Metabolism,"AB hydrolase superfamily, subfamily 4; AB hydrolase 4 family",ABHD16A(0.649); ABHD4(0.629); ABHD6(0.621); ABHD12(0.583); ABHD11(0.582),False
ABHD4,7.395696640014648,0.6558301448822021,0.7058390378952026,0.7335188388824463,7.9341020584106445,0.9099026918411256,0.5660055875778198,0.6612434387207031,7.212388515472412,0.6312964558601379,0.5594216585159302,0.6250660419464111,74,9.333672,4.966886,2,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,Graves disease(0.075),not_common_essential; mean_geneEffect=0.022,LOEUF=1.039; pLI=0.0,Lysophospholipase selective for N-acyl phosphatidylethanolamine (NAPE).,Metabolism,Alpha/Beta hydrolase fold,GDE1(0.87); NAPEPLD(0.853); ABHD12(0.754); MGLL(0.747); ABHD6(0.742),False
ABHD5,6.880067348480225,0.3511407375335693,0.4720058441162109,0.7899124622344971,7.996728420257568,0.9908929467201232,0.9079665541648864,0.8281146287918091,7.554738998413086,0.6548618078231812,0.4417659640312195,0.3835789263248443,88,11.775674,3.43918,4,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,psoriasis(0.18),not_common_essential; mean_geneEffect=-0.072,LOEUF=0.923; pLI=0.0,Coenzyme A-dependent lysophosphatidic acid acyltransferase that catalyzes the transfer of an acyl group on a lysophosphatidic acid .,Metabolism,Alpha/Beta hydrolase fold,PLIN1(0.999); PNPLA2(0.999); PLIN5(0.946); LIPE(0.919); PLIN2(0.898),False
ABHD6,7.134573459625244,0.4575397372245788,0.5831934809684753,0.4726781249046325,6.598273277282715,0.5890340805053711,0.8508907556533813,0.731197714805603,7.4196858406066895,0.539421796798706,0.6068960428237915,0.5956196784973145,65,10.88421,7.277844,3,no_known_drug,NOT_FOUND,Tchem,PROTAC_degrader; antibody; small_molecule,multiple sclerosis(0.36); acquired polycythemia vera(0.254),not_common_essential; mean_geneEffect=0.085,LOEUF=1.068; pLI=0.0,Lipase that preferentially hydrolysis medium-chain saturated monoacylglycerols including 2-arachidonoylglycerol .,Hemostasis,AB hydrolase superfamily; Epoxide hydrolase-like,ABHD12(0.949); MGLL(0.904); FAAH(0.881); DAGLA(0.831); NAPEPLD(0.821),True
ABL2,6.774409294128418,0.6793450117111206,0.6988822817802429,0.5583163499832153,7.908612251281738,0.9278540015220642,0.7731384038925171,0.8179260492324829,7.906211853027344,0.8502254486083984,0.8317650556564331,0.8333771228790283,86,7.4388537,4.977703,0,no_known_drug,NOT_FOUND,Tchem,PROTAC_degrader; antibody; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=0.1,LOEUF=0.579; pLI=0.001,"Non-receptor tyrosine-protein kinase that plays an ABL1-overlapping role in key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion and receptor endocytosis.",Developmental Biology; Immune System; Signal Transduction,Non-receptor tyrosine kinases involved in cell signaling,CRK(0.99); RIN1(0.984); ABL1(0.981); CRKL(0.962); RAC3(0.926),True
ABLIM3,6.382790565490723,0.3524450659751892,0.5604531764984131,0.6857786178588867,4.154499053955078,0.8000674843788147,0.6657545566558838,0.6199959516525269,7.674356937408447,0.6576640605926514,0.6820467710494995,0.6409056186676025,52,9.792762,10.180368,8,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,immune system disorder(0.222); Sjogren syndrome(0.185),not_common_essential; mean_geneEffect=0.049,LOEUF=0.691; pLI=0.0,May act as scaffold protein.,Developmental Biology,Actin-binding LIM,ABRA(0.957); ABLIM1(0.935); CDC42(0.909); RAC2(0.908); RAC3(0.906),False
ABRACL,5.158316612243652,0.0773058533668518,0.7926584482192993,0.9183651804924012,7.976933002471924,0.971545934677124,0.7771735191345215,0.7793771028518677,7.381001949310303,0.5061384439468384,0.663447380065918,0.7148416042327881,60,10.167958,1.2168472,7,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,NOT_FOUND,not_common_essential; mean_geneEffect=0.087,LOEUF=1.244; pLI=0.1137,"Associates with the actin cytoskeleton and may modulate actin dynamics, in favor of increasing the relative content of F-actin, therefore may play a role in cell migration.",NOT_FOUND,Costars family,SMIM18(0.554); TTC9B(0.504); IRGQ(0.494); CXorf38(0.448); DMAC2(0.439),False
ABRAXAS1,5.331920623779297,0.3369664549827575,0.4857341051101684,0.6839975714683533,7.930121898651123,0.94505512714386,0.9840872883796692,0.8013657331466675,7.45042085647583,0.6299153566360474,0.3852524757385254,0.3526830673217773,100,11.820428,3.171373,4,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader,NOT_FOUND,not_common_essential; mean_geneEffect=-0.29,LOEUF=1.348; pLI=0.0,Involved in DNA damage response and double-strand break (DSB) repair.,Cell Cycle; DNA Repair; Metabolism of proteins,"BRISC complex, Abraxas 1 subunit; FAM175 family",UIMC1(0.999); BARD1(0.999); BABAM1(0.999); BRCA1(0.999); BABAM2(0.999),False
ABTB1,5.489967346191406,0.0833394527435302,0.9331308603286744,0.92068749666214,6.9080424308776855,0.5515045523643494,0.6950802206993103,0.5397698283195496,7.820795059204102,0.7625620365142822,0.701581597328186,0.7384264469146729,91,10.492782,0.011180423,7,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,asthma(0.25); myelofibrosis(0.044); primary myelofibrosis(0.044),not_common_essential; mean_geneEffect=0.058,LOEUF=1.004; pLI=0.0,May act as a mediator of the PTEN growth-suppressive signaling pathway.,NOT_FOUND,Ankyrin repeat and BTB/POZ domain-containing protein 1-like,CUL3(0.851); EEF1A2(0.849); EEF1D(0.846); VARS1(0.805); CARS1(0.788),False
ABTB2,6.830628395080566,0.5945307016372681,0.8018563985824585,0.6176152229309082,7.9188947677612305,0.941508173942566,0.63700270652771,0.6903069019317627,6.919858932495117,0.6390426158905029,0.6239300966262817,0.5136674046516418,88,10.046061,4.3362317,2,no_known_drug,NOT_FOUND,Tdark,PROTAC_degrader,vitiligo(0.237),not_common_essential; mean_geneEffect=0.046,LOEUF=0.733; pLI=0.0,May be involved in the initiation of hepatocyte growth.,NOT_FOUND,Ankyrin repeat and BTB/POZ domain-containing protein,DEPDC7(0.536); ENSP00000496197(0.526); IFT46(0.44); CUL3(0.429); TTC30B(0.417),False
ACAA1,7.223116397857666,0.6255218982696533,0.4380930066108703,0.4554495215415954,7.028710842132568,0.6338938474655151,0.5833063721656799,0.5217307806015015,7.169130325317383,0.522264838218689,0.4462132453918457,0.4845795631408691,64,11.396527,7.9755845,3,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,asthma(0.026),not_common_essential; mean_geneEffect=0.045,LOEUF=1.2; pLI=0.0,Responsible for the thiolytic cleavage of straight chain 3-keto fatty acyl-CoAs (3-oxoacyl-CoAs) .,Immune System; Metabolism; Protein localization,Thiolase; 3-ketoacyl-CoA thiolase-like,HSD17B4(0.999); EHHADH(0.998); ACOX1(0.998); HADHA(0.997); PEX7(0.995),False
ACAD8,7.4795660972595215,0.656100869178772,0.7619484066963196,0.585563063621521,7.500180244445801,0.6920483112335205,0.9350842237472534,0.7499938607215881,7.803875923156738,0.8646273612976074,0.8283677101135254,0.8301534056663513,92,7.370268,5.0464973,0,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,autoimmune disorder of central nervous system(0.261); ankylosing spondylitis(0.102),not_common_essential; mean_geneEffect=0.049,LOEUF=1.111; pLI=0.0,Isobutyryl-CoA dehydrogenase which catalyzes the conversion of 2-methylpropanoyl-CoA to (2E)-2-methylpropenoyl-CoA in the valine catabolic pathway .,Metabolism; Metabolism of proteins,Isobutyryl-CoA dehydrogenase; Mitochondrial Isobutyryl-CoA Dehydrogenase,ECHS1(0.962); HADHA(0.961); EHHADH(0.96); ACADSB(0.955); DBT(0.944),False
ACAD9,6.286550521850586,0.4307525157928467,1.079026699066162,0.8657130002975464,6.751733779907227,0.3334166407585144,1.0132277011871338,1.0067111253738403,5.449466705322266,0.1423430442810058,0.8453609347343445,0.9087969064712524,97,3.6431782,3.2723918,5,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,combined immunodeficiency(0.022),not_common_essential; mean_geneEffect=-0.254,LOEUF=0.885; pLI=0.0,"Together with NDUFAF1 and ECSIT, forms part of the mitochondrial complex I (MCIA),which is required for the biogenesis of respiratory Complex I (CI) and is therefore crucial for the activation of the oxidative phosphorylation system .",Metabolism,"Acyl-CoA oxidase/dehydrogenase, middle domain superfamily; Acyl-CoA dehydrogenase-like, C-terminal",TMEM126B(0.999); NDUFAF1(0.999); ECSIT(0.999); TIMMDC1(0.999); NDUFAF3(0.998),False
ACADM,7.226816654205322,0.4768217206001282,1.0268112421035769,0.8600993156433105,5.289885520935059,0.4757675528526306,0.3357573747634887,0.5852518081665039,7.538083076477051,0.6212475299835205,1.0268564224243164,0.8072755932807922,100,8.767043,8.771768,8,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=0.002,LOEUF=1.073; pLI=0.0,"Medium-chain specific acyl-CoA dehydrogenase is one of the acyl-CoA dehydrogenases that catalyze the first step of mitochondrial fatty acid beta-oxidation (FAO), breaking down fatty acids into acetyl-CoA and allowing the production of energy from fats .",Metabolism,Medium-chain specific acyl-CoA dehydrogenase,ETFA(0.995); ETFB(0.991); ACAA2(0.937); HADHA(0.934); ECI2(0.916),False
ACADSB,7.749260425567627,0.8149566054344177,0.3993685245513916,0.6612920165061951,7.356803894042969,0.734175443649292,0.5999103784561157,0.6362726092338562,3.4857680797576904,0.1506780982017517,0.572442352771759,0.6939252614974976,50,3.6921859,5.4236417,5,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=-0.07,LOEUF=0.892; pLI=0.0,"Short and branched chain specific acyl-CoA dehydrogenase that catalyzes the proR-proR stereospecific alpha,beta-dehydrogenation of fatty acyl-CoA thioesters using the electron transfer flavoprotein (ETF) as their physiologic electron acceptor, resulting in the formation of trans-2-enoyl-CoA ((2E)-en",Metabolism; Metabolism of proteins,"Acyl-CoA oxidase/dehydrogenase, middle domain superfamily; Acyl-CoA dehydrogenase-like, C-terminal",ECHS1(0.993); ACAA1(0.991); HADHA(0.987); HADHB(0.986); EHHADH(0.982),False
ACADVL,5.10502815246582,0.1216399669647216,0.86143559217453,0.9170960783958436,7.2124762535095215,0.4881155490875244,1.030421018600464,0.8879931569099426,7.989685535430908,0.9724398255348206,0.99676913022995,0.8835231065750122,35,8.630628,0.42661694,1,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=-0.034,LOEUF=1.078; pLI=0.0,"Catalyzes the first of the four reactions of the mitochondrial fatty acid beta-oxidation (FAO) pathway, which consists in the proR-proR stereospecific alpha, beta-dehydrogenation of fatty acyl-CoA thioesters using the electron transfer flavoprotein (ETF) as their physiologic electron acceptor, resul",Cellular responses to stimuli; Metabolism,"Acyl-CoA oxidase/dehydrogenase, middle domain superfamily; Acyl-CoA dehydrogenase-like, C-terminal",HADHA(0.995); CPT2(0.995); HADHB(0.988); ACAA2(0.983); ECHS1(0.981),False
ACAP1,7.709436416625977,0.8395131826400757,0.6778759956359863,0.6893415451049805,6.660824775695801,0.5508705377578735,0.4865542650222778,0.5500470995903015,5.717479705810547,0.1827003955841064,0.8760875463485718,0.9336451888084412,100,4.27652,5.797271,5,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,type 1 diabetes mellitus(0.34); systemic lupus erythematosus(0.31); Hashimoto thyroiditis(0.302); autoimmune disease(0.294); autoimmune thyroid disease(0.272),not_common_essential; mean_geneEffect=-0.044,LOEUF=0.58; pLI=0.0019,GTPase-activating protein (GAP) for ADP ribosylation factor 6 (ARF6) required for clathrin-dependent export of proteins from recycling endosomes to trans-Golgi network and cell surface.,NOT_FOUND,ArfGAP ACAP1/2/3-like,ARF6(0.9); ARF5(0.825); ARF1(0.762); RAB35(0.736); GULP1(0.677),False
ACAT2,7.442833423614502,0.5800066590309143,0.8529700040817261,0.7782322764396667,7.641046524047852,0.7797385454177856,0.7071643471717834,0.6661016941070557,7.586603164672852,0.6728490591049194,0.4620276093482971,0.4496257305145263,100,10.941562,4.4579086,2,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; small_molecule,NOT_FOUND,not_common_essential; mean_geneEffect=0.128,LOEUF=0.991; pLI=0.0,Involved in the biosynthetic pathway of cholesterol.,Metabolism,Thiolase,HMGCS1(0.998); HMGCS2(0.993); ECI2(0.981); EHHADH(0.98); HADHA(0.974),False
ACBD3,7.766907691955566,0.8478860855102539,0.4952441453933716,0.615187406539917,4.843655109405518,0.5121296644210815,0.5466797351837158,0.6188772320747375,7.50514030456543,0.6569714546203613,0.3222552537918091,0.368971586227417,100,11.233943,9.806496,8,no_known_drug,NOT_FOUND,Tbio,PROTAC_degrader; antibody,NOT_FOUND,not_common_essential; mean_geneEffect=-0.008,LOEUF=0.634; pLI=0.0058,"Involved in the maintenance of Golgi structure by interacting with giantin, affecting protein transport between the endoplasmic reticulum and Golgi .",Vesicle-mediated transport,Golgi apparatus maintenance and PI4KB interaction protein,GOLGB1(0.997); PI4KB(0.996); TSPO(0.985); VDAC1(0.955); BLZF1(0.898),False
