perturbation,line,EN_global,argmin_depth,oracle_rstar,D_1,D_final,D_min,path_length,direct_displacement,indirectness,nonlin_correction,progression_dip,nonmonotonicity,recovery,effect_size,n_de,n_cells,prog_L0,prog_L1,prog_L2,prog_L3,prog_L4,prog_L5,prog_L6,prog_L7,prog_L8,late_cell_cycle,late_dna_damage,late_translation,late_stress,late_apoptosis,late_interferon,late_mitochondrial,slope_cell_cycle,slope_dna_damage,slope_translation,slope_stress,slope_apoptosis,slope_interferon,slope_mitochondrial
AHCY,k562,6.0331,8.0,8.0,1.06339,0.99389,0.99389,69.61109,11.90742,5.846,1.11085,-0.1808,1,1.1808,1.9766,73,142,-0.1474,-0.1108,-0.0992,-0.0872,-0.084,-0.0834,-0.0792,-0.1808,1.0,0.07575,0.0639,0.26192,0.05785,0.02058,-0.04401,0.01636,0.010599,0.008701,0.040563,0.006959,0.001602,-0.010872,0.003485
AKIRIN2,k562,5.789,7.0,7.0,1.00064,0.98857,0.9407,75.91661,12.06115,6.2943,0.99668,-0.0537,5,1.0537,2.0085,86,144,-0.05,0.0033,0.0002,-0.0178,-0.0225,-0.0399,-0.0537,-0.0346,1.0,-0.02513,-0.1209,0.13147,-0.05278,-0.00559,-0.0822,-0.10643,-0.003484,-0.01817,0.017214,-0.008629,-0.002111,-0.016352,-0.015218
ALDOA,k562,4.5941,1.0,1.0,0.86714,0.93449,0.86714,81.92676,12.73062,6.4354,0.88718,0.0614,4,0.9386,4.0771,354,77,0.0514,0.1128,0.0839,0.0969,0.0659,0.0614,0.108,0.0857,1.0,0.01391,-0.08832,0.14572,-0.02956,0.03027,-0.09667,-0.02247,0.004933,-0.013017,0.01997,-0.005945,0.00401,-0.018376,-0.002955
ALG1,k562,5.7123,8.0,8.0,1.00985,1.00745,1.00745,83.26183,12.02409,6.9246,1.07914,-0.0791,2,1.0791,1.9411,64,67,-0.1243,-0.0791,-0.0507,-0.0429,0.0558,0.1007,0.0814,0.03,1.0,-0.01944,-0.02106,0.2537,0.14433,-0.00736,-0.08965,-0.09433,-0.00371,-0.003568,0.038735,0.021454,-0.003251,-0.017908,-0.013317
ALG13,k562,6.359,5.0,5.0,0.90746,1.0034,0.875,78.62271,12.00561,6.5488,1.00691,-0.0617,4,1.0617,1.6735,45,167,-0.0929,-0.0069,0.03,0.0221,0.0085,-0.0298,-0.0617,-0.0252,1.0,-0.03708,-0.07398,0.32308,0.02319,-0.02938,-0.0655,-0.16297,-0.006497,-0.012104,0.047676,0.002489,-0.006359,-0.014556,-0.022406
ALG14,k562,5.9337,6.0,6.0,0.988,0.98862,0.84498,97.75481,12.52268,7.8062,1.10255,-0.1148,2,1.1148,1.3477,15,177,-0.1044,-0.1026,-0.1148,-0.1082,-0.0623,-0.0098,0.0102,-0.0276,1.0,-0.00057,-0.07073,0.19759,0.22644,-0.03664,-0.08236,-0.10467,-0.001265,-0.011421,0.030088,0.032078,-0.00754,-0.017565,-0.0139
ALG2,k562,5.3156,5.0,5.0,0.92871,0.9029,0.62635,102.8146,13.23966,7.7657,0.87683,0.119,3,0.881,1.7167,29,228,-0.0732,0.1232,0.1762,0.1743,0.2459,0.4672,0.4233,0.119,1.0,-0.06101,-0.22347,0.54952,0.34505,-0.01289,-0.09175,-0.10798,-0.010327,-0.034395,0.082847,0.051709,-0.004051,-0.019172,-0.015359
ANAPC11,k562,6.9727,4.0,4.0,0.97914,0.97729,0.95776,75.56198,12.66315,5.9671,1.088,-0.1362,4,1.1362,2.1559,96,66,-0.1509,-0.088,-0.0551,-0.0507,-0.0527,-0.0581,-0.0651,-0.1362,1.0,-0.03387,-0.07484,0.17778,-0.01296,-0.03059,-0.08428,-0.08512,-0.003514,-0.011381,0.024435,-0.002366,-0.005299,-0.016333,-0.012049
ANAPC13,k562,6.7037,8.0,8.0,1.052,1.00233,1.00233,76.28865,11.78071,6.4757,1.13468,-0.3124,5,1.3124,1.6984,35,104,-0.1773,-0.1347,-0.2044,-0.2528,-0.2828,-0.302,-0.3124,-0.1433,1.0,0.02026,-0.07476,0.28927,-0.00829,-0.00679,-0.08842,-0.15144,0.002758,-0.012725,0.040923,-0.001986,-0.003151,-0.017672,-0.022172
ANKLE2,k562,5.5035,7.0,7.0,1.05233,1.00425,0.99613,74.15146,12.61691,5.8771,1.1221,-0.1476,4,1.1476,1.7167,29,111,-0.1717,-0.1221,-0.0965,-0.1057,-0.109,-0.1228,-0.1227,-0.1476,1.0,-0.04297,-0.11631,0.15237,-0.03773,-0.01963,-0.08942,-0.08837,-0.0045,-0.016755,0.019568,-0.006281,-0.003556,-0.016997,-0.011416
ANKRD11,k562,6.8412,8.0,8.0,1.12374,0.99474,0.99474,73.47527,12.23704,6.0043,1.20076,-0.2216,2,1.2216,2.3391,93,184,-0.2215,-0.2008,-0.2216,-0.2197,-0.2073,-0.2054,-0.1948,-0.2018,1.0,0.01924,-0.07012,0.25083,0.00989,-0.0172,-0.07319,-0.12908,0.003273,-0.011327,0.037124,5.4e-05,-0.00451,-0.01567,-0.018022
ANKRD49,k562,6.2916,7.0,7.0,0.97784,1.02583,0.94281,81.18307,11.68862,6.9455,1.05661,-0.1036,2,1.1036,1.4748,15,139,-0.2208,-0.0566,0.0379,0.0522,0.0478,0.0547,0.0581,-0.1036,1.0,0.11507,0.02297,0.22984,0.10086,0.05863,-0.02313,-0.069,0.017991,0.002262,0.03214,0.013242,0.007231,-0.006643,-0.009016
ANKS6,k562,6.772,5.0,5.0,0.99405,0.99158,0.93103,77.35748,11.63587,6.6482,1.08175,-0.0817,1,1.0817,1.7796,47,89,-0.1669,-0.0817,-0.0529,-0.0206,-0.0007,0.0158,0.0197,0.0075,1.0,0.12235,0.09339,0.38139,0.11926,0.06627,-0.00993,-0.04326,0.018044,0.012324,0.055213,0.015547,0.008143,-0.005817,-0.00677
ANLN,k562,7.0985,8.0,8.0,1.02894,0.99187,0.99187,72.82249,12.27441,5.9329,0.99581,-0.0233,5,1.0233,1.6659,27,93,-0.0742,0.0042,-0.0049,-0.0084,-0.0111,-0.0218,-0.0233,0.032,1.0,0.07815,0.01695,0.10391,0.08335,0.02147,-0.05944,-0.03814,0.011808,0.00141,0.013874,0.01068,0.001322,-0.014212,-0.004805
AP2S1,k562,5.8338,5.0,5.0,0.89792,1.01118,0.88072,73.82162,12.67263,5.8253,1.01809,-0.0181,1,1.0181,2.9044,174,98,-0.1301,-0.0181,-0.0108,-0.0063,-0.0071,-0.0047,-0.0038,0.0181,1.0,0.09174,-0.03876,0.02071,0.04058,0.0034,-0.0725,0.08791,0.013564,-0.005863,0.005664,0.005203,-0.001548,-0.015369,0.014534
ARGLU1,k562,6.0568,6.0,6.0,1.02292,1.00344,0.93855,94.47027,12.79814,7.3816,1.09821,-0.1183,3,1.1183,1.8982,47,442,-0.1689,-0.0982,-0.1183,-0.1149,-0.0908,-0.1155,-0.1055,-0.1165,1.0,0.058,-0.04941,0.34231,0.0956,-0.07568,-0.04528,-0.05965,0.009636,-0.007708,0.046361,0.011687,-0.010408,-0.01061,-0.004041
ARL4D,k562,6.6192,8.0,8.0,1.03976,0.99778,0.99778,77.51196,11.79452,6.5719,1.09818,-0.2012,4,1.2012,1.6065,22,118,-0.1792,-0.0982,-0.1237,-0.1477,-0.1816,-0.2012,-0.1823,-0.0733,1.0,0.09838,0.08848,0.38253,0.10366,0.05539,-0.01999,-0.04788,0.014354,0.010839,0.056469,0.0142,0.006637,-0.007937,-0.007652
ARMC6,k562,5.9737,6.0,6.0,0.99986,1.00425,0.97678,79.27548,10.24929,7.7347,1.01524,-0.2283,4,1.2283,1.9642,63,76,-0.2137,-0.0152,-0.0301,-0.0458,-0.0548,-0.0335,-0.0258,-0.2283,1.0,0.08038,0.04502,0.32951,-0.04805,0.02515,-0.04875,-0.1177,0.011681,0.005227,0.046878,-0.008253,0.001902,-0.010645,-0.017395
ASF1B,k562,6.5955,8.0,8.0,1.02958,1.00635,1.00635,74.50272,12.53579,5.9432,0.95449,-0.0801,4,1.0801,1.0385,2,271,-0.0522,0.0455,-0.0365,-0.0601,-0.0729,-0.0801,-0.0743,0.0133,1.0,0.06227,0.00337,0.30122,0.09876,0.00958,-0.06815,-0.09288,0.008579,-0.000987,0.042429,0.013162,-7.5e-05,-0.014454,-0.01298
ATF5,k562,6.0272,6.0,6.0,0.83381,0.83722,0.71358,88.74538,13.10038,6.7743,0.72584,0.1532,3,0.8468,5.6483,495,133,0.154,0.2742,0.1758,0.1532,0.2051,0.2608,0.3915,0.2905,1.0,-0.08124,-0.10075,0.1653,-0.03833,-0.01992,-0.11098,0.00882,-0.011588,-0.015019,0.023232,-0.00804,-0.005615,-0.02143,0.00237
ATL2,k562,5.7957,8.0,8.0,1.04128,1.00697,1.00697,84.6096,10.98406,7.7029,1.04254,-0.0755,2,1.0755,1.7753,41,109,-0.1711,-0.0425,-0.0717,-0.0755,-0.0728,-0.072,-0.0507,-0.0083,1.0,0.07165,-0.04616,-0.06648,0.0383,0.0362,0.00157,0.08715,0.009297,-0.007039,-0.007357,0.004422,0.002826,-0.004926,0.014282
ATP1A1,k562,6.8124,7.0,7.0,1.03553,0.99196,0.95705,69.65339,12.07994,5.766,1.15839,-0.1648,1,1.1648,4.3479,381,71,-0.2132,-0.1584,-0.1478,-0.1367,-0.1295,-0.1206,-0.1164,-0.1648,1.0,0.08825,0.02651,0.19556,0.05003,-0.00052,-0.07183,-0.08786,0.013709,0.002927,0.028338,0.006471,-0.001591,-0.014888,-0.012457
ATP6AP1,k562,5.7128,6.0,6.0,0.85843,0.90167,0.67408,89.65959,12.51338,7.1651,0.8524,0.1476,1,0.8524,2.565,152,114,0.1031,0.1476,0.1738,0.2034,0.24,0.2772,0.3685,0.2715,1.0,-0.10085,-0.10771,0.01206,0.03257,0.06963,-0.02786,0.05397,-0.014464,-0.016441,0.002985,0.002999,0.007802,-0.009164,0.006249
ATP6AP2,k562,5.1209,6.0,6.0,0.8848,0.94552,0.77723,92.68908,12.72177,7.2859,0.96166,0.0383,1,0.9617,1.7235,45,164,-0.0541,0.0383,0.0609,0.0832,0.1014,0.1605,0.2042,0.1508,1.0,-0.06758,-0.12044,0.02378,0.00267,0.04363,-0.03719,-0.0344,-0.009014,-0.018531,0.007079,-0.001231,0.004243,-0.010287,-0.00528
ATP6V0B,k562,6.1946,6.0,6.0,0.8539,0.94631,0.72535,87.26035,13.04258,6.6904,1.02579,-0.0258,1,1.0258,2.4961,86,136,-0.1503,-0.0258,0.0239,0.0567,0.0622,0.138,0.1633,0.1054,1.0,-0.08884,-0.14017,0.07639,0.00029,0.05097,-0.03099,0.04066,-0.012115,-0.020838,0.013259,-0.002087,0.005066,-0.009353,0.004886
ATP6V0C,k562,6.0827,6.0,6.0,0.81473,0.88715,0.66957,90.16504,13.28148,6.7888,0.86766,0.113,2,0.887,3.7268,338,47,-0.0636,0.1323,0.113,0.1461,0.1744,0.2974,0.3543,0.3018,1.0,-0.11841,-0.1802,0.14016,0.0269,0.05402,-0.05919,0.01242,-0.016794,-0.027328,0.02276,0.001924,0.005956,-0.013843,0.000633
ATP6V0D1,k562,5.9772,6.0,5.0,1.01604,0.998,0.93078,83.53587,12.74969,6.552,1.15845,-0.1585,1,1.1585,1.8516,46,88,-0.2438,-0.1585,-0.1471,-0.133,-0.1353,-0.1333,-0.1231,-0.1131,1.0,-0.08508,-0.1248,0.20399,-0.02609,-0.021,-0.12132,-0.11939,-0.010388,-0.017862,0.029417,-0.003153,-0.00438,-0.021684,-0.016113
ATP6V1C1,k562,5.9237,5.0,3.0,0.9879,0.98411,0.97945,91.91223,11.52855,7.9726,0.88037,0.1055,4,0.8945,2.3274,116,55,-0.0642,0.1196,0.1134,0.1105,0.1055,0.1222,0.1508,0.1218,1.0,0.02098,-0.0838,0.1755,0.18189,0.06969,-0.01442,0.0824,0.004498,-0.011957,0.026658,0.027431,0.00968,-0.005543,0.014277
ATP6V1D,k562,5.1598,5.0,5.0,0.87818,0.98382,0.8521,88.25122,12.58525,7.0123,0.85986,-0.025,6,1.025,1.6811,30,125,-0.0037,0.1401,0.1234,0.1145,0.0956,0.0936,0.0578,-0.025,1.0,0.07917,-0.02888,0.04168,0.05833,0.04258,-0.08545,0.07723,0.010229,-0.005642,0.00986,0.00937,0.004862,-0.017662,0.013102
ATP6V1H,k562,5.7288,6.0,6.0,0.91689,0.9457,0.76988,90.77198,12.63128,7.1863,0.99623,0.0038,1,0.9962,2.4798,144,77,-0.0912,0.0038,0.0745,0.121,0.1345,0.1539,0.1771,0.084,1.0,-0.14542,-0.19907,0.17655,-0.04108,0.01588,-0.11443,-0.07825,-0.01955,-0.02891,0.02786,-0.006766,0.000692,-0.021584,-0.012269
ATR,k562,4.1025,1.0,1.0,0.80223,0.95818,0.80223,81.60066,12.76014,6.395,0.75974,0.0986,4,0.9014,2.3329,132,133,0.1211,0.2403,0.2296,0.2268,0.2357,0.2434,0.2405,0.0986,1.0,0.05834,-0.08877,0.01721,-0.0553,0.02818,-0.10494,0.01908,0.009418,-0.014403,0.004454,-0.009164,0.00334,-0.019391,0.001748
ATRIP,k562,5.5368,6.0,6.0,0.80332,0.98449,0.78013,81.0169,12.35476,6.5575,0.92332,0.0132,4,0.9868,1.8936,63,183,0.0801,0.0767,0.0823,0.0578,0.0584,0.0478,0.0874,0.0132,1.0,0.05264,-0.0552,0.1021,0.0024,0.0141,-0.08244,0.03121,0.009506,-0.009019,0.013296,-0.0013,0.001145,-0.016721,0.003849
AURKA,k562,5.8939,7.0,7.0,0.94422,0.95344,0.90373,75.03352,12.29423,6.1032,1.11799,-0.184,5,1.184,3.0897,213,49,-0.058,-0.118,-0.1586,-0.1598,-0.1547,-0.1701,-0.184,-0.0225,1.0,-0.03594,-0.11173,0.08517,-0.00568,0.00084,-0.05044,-0.05383,-0.005737,-0.018028,0.009989,-0.002079,-0.001698,-0.012104,-0.007037
BARD1,k562,6.4639,3.0,3.0,0.94348,0.99787,0.91678,75.81285,11.17569,6.7837,0.96476,0.0215,4,0.9785,1.4334,13,135,0.0434,0.0352,0.0313,0.0336,0.0329,0.033,0.0215,0.0783,1.0,-0.06044,-0.13951,0.23342,-0.03277,-0.00063,-0.02962,-0.10275,-0.008057,-0.021239,0.033597,-0.004906,-0.001352,-0.008953,-0.014673
BCLAF1,k562,6.3397,7.0,7.0,0.98541,0.99521,0.94633,75.19427,11.5629,6.5031,1.12562,-0.1277,3,1.1277,2.6265,185,46,-0.0405,-0.1256,-0.1177,-0.1277,-0.1093,-0.0576,-0.0238,-0.0346,1.0,-0.01935,-0.09342,0.22217,0.03596,-0.00896,-0.09107,-0.14388,-0.003824,-0.014881,0.033053,0.004186,-0.003075,-0.017707,-0.020492
BCS1L,k562,6.6227,7.0,7.0,0.94872,1.00726,0.93137,81.43888,11.64027,6.9963,1.15478,-0.1658,3,1.1658,2.0275,68,68,-0.2093,-0.1548,-0.1573,-0.1378,-0.1292,-0.1296,-0.1134,-0.1658,1.0,0.05316,-0.00816,0.33187,0.02595,0.03384,-0.06226,-0.09493,0.008032,-0.00201,0.049026,0.002334,0.004057,-0.012677,-0.013498
BDP1,k562,5.5586,1.0,1.0,0.81086,0.85294,0.81086,82.26392,12.72203,6.4663,0.76227,0.1535,3,0.8465,3.0718,206,277,0.2098,0.2377,0.2175,0.1977,0.1995,0.203,0.21,0.1535,1.0,-0.00842,-0.09339,-0.01684,0.11558,-0.01717,-0.02825,0.07278,0.001036,-0.012606,-0.004517,0.015156,-0.002004,-0.008748,0.010426
BET1,k562,6.3264,4.0,4.0,0.93997,0.97278,0.93111,89.30159,12.74924,7.0045,0.94343,0.0113,3,0.9887,1.8635,67,125,-0.0237,0.0566,0.0789,0.0655,0.0945,0.1098,0.0706,0.0113,1.0,-0.00122,-0.13087,0.4438,0.07642,0.0134,-0.08588,-0.03908,0.000118,-0.018964,0.064654,0.008554,0.000986,-0.018437,-0.004736
BNIP1,k562,6.0406,6.0,6.0,0.86349,0.93917,0.77155,103.889,13.1149,7.9214,0.85886,0.0887,2,0.9113,2.8506,194,107,0.0379,0.1411,0.0887,0.101,0.1179,0.3406,0.3584,0.2153,1.0,-0.13007,-0.27529,0.50558,0.27905,-0.00659,-0.05419,-0.1491,-0.018044,-0.040234,0.071211,0.041584,-0.002411,-0.013282,-0.02151
BRF1,k562,5.3022,2.0,2.0,0.92449,0.97877,0.89726,77.92908,12.22386,6.3752,1.05275,-0.0869,4,1.0869,1.6403,39,163,-0.0509,-0.0527,-0.0648,-0.0746,-0.0628,-0.0589,-0.0869,-0.011,1.0,0.01903,-0.11874,0.06721,0.03499,0.01736,-0.07594,-0.06026,0.003017,-0.018238,0.007577,0.003549,0.000153,-0.015937,-0.007147
BRIP1,k562,6.9565,5.0,5.0,1.01236,0.99519,0.95146,76.3831,11.67803,6.5408,1.01446,-0.1247,5,1.1247,1.6056,25,131,-0.0445,-0.0145,-0.0577,-0.0817,-0.0842,-0.0996,-0.1247,-0.0758,1.0,0.09903,-0.01286,0.22981,0.0586,0.04533,-0.05252,-0.07459,0.014688,-0.002624,0.03076,0.006836,0.005247,-0.011434,-0.009075
BRIX1,k562,4.6116,1.0,1.0,0.69395,0.86549,0.69395,76.25319,12.22925,6.2353,0.73586,0.1645,4,0.8355,3.7282,321,109,0.1469,0.2641,0.2687,0.2598,0.2512,0.2435,0.2513,0.1645,1.0,0.0525,-0.0113,0.17184,0.00247,0.01362,-0.04297,0.01976,0.008536,-0.002291,0.024502,-0.001109,0.000667,-0.010633,0.002684
BRK1,k562,6.5336,8.0,8.0,1.0711,0.99364,0.99364,73.16371,12.01582,6.089,1.06116,-0.0789,3,1.0789,1.256,3,169,-0.1558,-0.0612,-0.0714,-0.0724,-0.0718,-0.0789,-0.0584,-0.0364,1.0,0.07671,0.04084,0.22536,0.04611,0.00964,-0.06718,-0.05467,0.012389,0.005303,0.03435,0.005709,1.7e-05,-0.014005,-0.008518
BTF3,k562,4.1183,1.0,1.0,0.84439,0.98565,0.84439,74.8448,12.97895,5.7666,0.8966,0.0484,4,0.9516,3.1987,259,65,-0.031,0.1034,0.0669,0.0484,0.0549,0.0867,0.0822,0.0629,1.0,0.04741,-0.1028,0.2102,-0.04929,-0.00311,-0.09279,-0.0541,0.007098,-0.015642,0.029678,-0.009355,-0.002204,-0.018951,-0.008897
BTF3L4,k562,6.7431,1.0,1.0,0.97406,1.00159,0.97406,76.90843,11.84911,6.4907,0.99136,-0.0794,4,1.0794,1.4389,14,121,-0.0017,0.0086,-0.01,-0.0386,-0.0633,-0.0794,-0.0776,-0.0112,1.0,0.13717,0.08807,0.36433,0.08902,0.06166,-0.01875,-0.06277,0.019877,0.01066,0.052014,0.010757,0.007112,-0.007889,-0.009488
BUB1,k562,5.682,6.0,6.0,0.92822,0.96992,0.92696,79.31309,11.69905,6.7794,1.05192,-0.1499,1,1.1499,0.9852,4,570,-0.0542,-0.0519,-0.1499,-0.1251,-0.1223,-0.1204,-0.0913,-0.0788,1.0,-0.02789,-0.09001,-0.01599,-0.06332,0.00616,-0.0881,-0.06297,-0.004796,-0.014555,-0.002451,-0.01034,-0.000642,-0.016289,-0.009095
BUB1B,k562,5.1983,6.0,6.0,0.96428,0.97533,0.95949,74.07597,12.58281,5.8871,1.09372,-0.1441,2,1.1441,1.6682,33,135,-0.0673,-0.0937,-0.1441,-0.1213,-0.1029,-0.0977,-0.0507,0.0219,1.0,-0.02727,-0.10601,0.11782,-0.03527,-0.03404,-0.08096,-0.10862,-0.002442,-0.015285,0.015077,-0.007232,-0.006678,-0.01609,-0.015731
BYSL,k562,5.7892,8.0,8.0,0.89847,0.83831,0.83831,75.7645,13.09529,5.7856,0.82781,0.0898,5,0.9102,3.7532,289,87,0.051,0.1722,0.1607,0.1478,0.1468,0.1461,0.1533,0.0898,1.0,0.04748,-0.01535,0.13942,-0.00233,-0.01669,-0.09566,0.04125,0.008766,-0.001919,0.015807,-0.002606,-0.00349,-0.018178,0.00647
C17orf58,k562,5.9529,8.0,8.0,1.01925,0.99366,0.99366,75.63277,11.2505,6.7226,1.07213,-0.1704,6,1.1704,2.3431,123,52,-0.1409,-0.0721,-0.075,-0.0821,-0.0929,-0.1034,-0.1054,-0.1704,1.0,0.15268,0.11623,0.33338,0.05234,0.06911,-0.01581,-0.08723,0.022298,0.0159,0.049016,0.006482,0.00789,-0.006306,-0.013689
C19orf25,k562,4.8449,1.0,1.0,0.93864,1.00079,0.93864,81.59415,12.46611,6.5453,1.1064,-0.1064,3,1.1064,1.3909,10,158,-0.0522,-0.1064,-0.073,-0.0485,-0.0364,-0.0499,-0.0601,-0.0381,1.0,0.00959,-0.07418,0.04597,-0.04205,0.01595,-0.07285,-0.11266,0.002817,-0.010988,0.005143,-0.007971,0.001408,-0.015329,-0.015733
